Setor;Multiplo EBITDA Min;Multiplo EBITDA Max
Agro (Grãos/Trading);3.5;5.5
Agro (Proteínas);4;6
Alimentos & Bebidas;5.5;8
Beleza;6;9
Bens de Consumo;5.5;8
Construção (Materiais);4.5;6.5
Construtoras;3.5;5.5
E-commerce;5;8
Educação;6;9
Farmacêutica;7;10
Indústria (Autopeças);4.5;6.5
Indústria (Outros);5;7
Infraestrutura;6;9
Logística;5;7.5
Marketing & Mídia & Entretenimento;5.5;8
Meios de Pagamento;8;12
Químicos & Embalagens;5;7
Renováveis;8;11
Saneamento;5.5;10
Saúde (Clínicas);6;9
Saúde (Hospitais);7;10
Saúde (Planos de saúde);7;10
Seguros;6;8
Serviços/Facilities;5;7
Tech (AI/SaaS);8;13
Tech (Hardware);5;7
Tech (Serviços TI);6;9
Telecom (ISPs);4;7
Turismo / Hotelaria;5;7.5
Varejo (Alimentar/Supermercado);4.5;6.5
Varejo (Farmácia);5.5;8
Varejo (Moda/Vestuário);4;6
